[2026-03-26 08:54:55] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:55] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:55] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:56] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:56] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:56] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:56] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:56] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:56] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:56] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:56] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:56] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:56] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:56] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:56] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:56] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:56] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:56] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:56] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:56] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:56] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:56] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:57] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:57] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:57] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:57] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:57] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:57] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:57] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:57] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:57] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:57] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:57] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:57] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:57] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:57] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:57] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:57] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:57] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:57] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:57] UDP | 192.168.18.132:49210 -> 52.113.158.229:3478
[2026-03-26 08:54:57] UDP | 52.113.158.229:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:58] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:58] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:58] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:58] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:54:58] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:58] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:58] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:54:58] TCP | 192.168.18.132:51340 -> 64.233.167.188:5228
[2026-03-26 08:54:58] TCP | 64.233.167.188:5228 -> 192.168.18.132:51340
[2026-03-26 08:54:58] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
